Frame,Timestamp,ObjectID,Label,Distance(m)
17,11:42:32,-1,bottle,0.9
18,11:42:32,1,bottle,0.85
19,11:42:32,1,bottle,0.79
20,11:42:32,1,bottle,0.73
21,11:42:32,1,bottle,0.67
22,11:42:32,1,bottle,0.62
23,11:42:32,1,bottle,0.58
24,11:42:32,1,bottle,0.55
25,11:42:33,1,bottle,0.53
26,11:42:33,1,bottle,0.54
27,11:42:33,1,bottle,0.55
28,11:42:33,1,bottle,0.55
29,11:42:33,1,bottle,0.55
30,11:42:33,1,bottle,0.55
31,11:42:33,1,bottle,0.55
32,11:42:34,1,bottle,0.55
33,11:42:34,1,bottle,0.56
59,11:42:38,-1,person,6.58
60,11:42:38,-1,person,5.86
61,11:42:38,4,person,5.8
62,11:42:38,4,person,5.6
62,11:42:38,5,clock,2.16
63,11:42:39,4,person,5.48
63,11:42:39,5,clock,2.18
64,11:42:39,4,person,5.45
64,11:42:39,5,clock,2.2
65,11:42:39,4,person,5.4
65,11:42:39,5,clock,2.16
66,11:42:39,4,person,5.26
66,11:42:39,5,clock,2.16
67,11:42:39,4,person,5.1
67,11:42:39,5,clock,2.2
69,11:42:40,4,person,3.98
70,11:42:40,4,person,3.58
71,11:42:40,4,person,3.53
72,11:42:40,4,person,3.71
73,11:42:41,4,person,3.75
74,11:42:41,4,person,3.62
75,11:42:41,4,person,3.59
77,11:42:41,4,person,3.59
78,11:42:41,4,person,3.59
79,11:42:42,4,person,3.62
80,11:42:42,4,person,3.68
81,11:42:42,4,person,3.83
82,11:42:42,4,person,3.82
83,11:42:42,4,person,3.75
83,11:42:42,5,clock,2.58
84,11:42:42,4,person,3.75
84,11:42:42,5,clock,2.24
85,11:42:43,4,person,3.68
85,11:42:43,5,clock,2.09
86,11:42:43,4,person,3.59
86,11:42:43,5,clock,2.03
87,11:42:43,4,person,3.57
87,11:42:43,5,clock,1.95
88,11:42:43,4,person,3.58
88,11:42:43,5,clock,1.78
89,11:42:43,4,person,3.64
89,11:42:43,5,clock,1.8
90,11:42:44,4,person,3.67
90,11:42:44,5,clock,1.86
91,11:42:44,4,person,3.67
91,11:42:44,5,clock,1.82
92,11:42:44,4,person,3.71
92,11:42:44,5,clock,1.76
93,11:42:44,4,person,3.74
93,11:42:44,5,clock,1.73
94,11:42:44,4,person,3.76
94,11:42:44,5,clock,1.73
95,11:42:44,4,person,3.83
95,11:42:44,5,clock,1.71
96,11:42:45,4,person,4.62
111,11:42:48,4,cell phone,0.33
112,11:42:48,4,cell phone,0.32
113,11:42:48,4,cell phone,0.33
114,11:42:48,4,cell phone,0.32
115,11:42:48,4,cell phone,0.32
